fgood,cbs1,cbinq,cbline,cbterm,cblineut,cbtob,cbdpd,cbnew,pmt,dpd,home,online,period
1,657,1,2,1,60.88067546,6,Yes,No,M,High,No,Yes,30-04-2017
0,673,1,2,1,50.45840951,4,No,No,P,Low,No,No,30-06-2017
0,713,2,1,1,54.29074549,6,No,No,A,NO,Yes,Yes,30-09-2017
0,716,1,0,0,39.2011726,5,No,No,M,NO,Yes,Yes,31-01-2017
0,NA,2,2,2,55.96035074,4,No,Yes,M,Low,No,Yes,31-03-2017
1,605,1,1,1,66.22540283,5,No,No,M,High,No,Yes,31-08-2017
0,703,1,1,1,46.70394833,7,No,No,A,NO,No,Yes,28-02-2017
0,NA,1,2,1,47.70338278,6,No,No,A,NO,No,Yes,30-09-2017
0,690,2,2,2,60.54874983,7,No,No,A,High,No,No,31-07-2017
0,686,0,0,0,39.3274707,6,No,No,P,NO,Yes,No,31-08-2017
0,633,0,0,0,54.47333088,4,No,Yes,M,NO,Yes,Yes,30-06-2017
0,606,1,2,2,28.21373764,5,No,No,A,Low,Yes,No,31-01-2017
0,751,1,2,0,54.55081971,8,No,No,M,NO,No,Yes,31-07-2017
0,620,0,1,1,27.57250196,6,No,No,P,NO,Yes,Yes,31-03-2017
1,730,0,1,1,45.96391367,5,No,No,A,NO,Yes,Yes,31-07-2017
0,662,0,1,1,33.49799655,5,No,No,A,NO,No,Yes,31-08-2017
0,615,0,1,1,46.55975095,6,No,No,A,NO,Yes,Yes,31-05-2017
0,615,1,1,0,43.51239501,5,No,No,A,Low,No,Yes,30-09-2017
0,518,0,1,1,40.78442038,4,No,No,P,High,No,No,31-05-2017
0,632,0,0,0,37.30204603,6,No,No,M,Low,Yes,Yes,31-03-2017
0,NA,2,1,1,61.19352618,5,No,No,A,NO,No,No,30-04-2017
0,682,0,0,0,42.82154878,7,No,No,A,NO,Yes,No,30-09-2017
0,624,0,0,0,26.19715169,7,No,No,P,NO,No,Yes,30-04-2017
1,616,1,1,1,52.14472627,6,No,Yes,M,High,No,Yes,30-09-2017
1,557,0,1,1,50.47879407,5,No,No,M,High,No,Yes,28-02-2017
0,667,0,0,0,38.2531735,7,No,No,A,NO,No,Yes,31-07-2017
0,652,0,0,1,35.10229506,6,No,No,P,NO,Yes,Yes,31-05-2017
0,691,0,1,0,39.64250674,4,No,No,M,NO,No,Yes,31-08-2017
0,693,1,3,0,37.75780009,6,No,Yes,A,NO,No,No,30-06-2017
0,679,0,1,1,39.80233064,5,No,No,M,NO,No,Yes,30-06-2017
1,711,1,0,0,42.15656219,6,No,No,M,NO,No,No,31-03-2017
0,630,0,1,0,40.84579231,6,No,Yes,A,Low,Yes,Yes,30-06-2017
0,674,2,1,0,55.06759283,6,No,No,M,NO,No,No,28-02-2017
0,737,1,2,0,20.0105133,7,No,No,A,NO,Yes,Yes,30-04-2017
0,627,2,2,1,34.8468313,4,No,No,A,NO,No,No,31-12-2016
0,626,2,1,1,42.68153645,3,No,No,A,NO,Yes,No,31-12-2016
0,727,0,1,1,36.05952457,6,No,No,M,NO,Yes,Yes,31-05-2017
0,673,2,2,1,16.55051633,7,No,Yes,A,NO,Yes,Yes,31-07-2017
0,647,1,2,1,38.89766149,7,No,No,A,Low,Yes,Yes,31-05-2017
0,638,0,2,1,42.1078662,6,No,Yes,M,NO,No,Yes,28-02-2017
0,644,0,2,0,44.42304879,5,No,No,M,NO,Yes,Yes,30-04-2017
0,723,1,2,1,49.68071213,7,No,No,P,NO,Yes,No,31-12-2016
0,661,1,3,1,38.38173883,5,No,No,A,NO,No,Yes,30-06-2017
0,556,2,3,2,36.85696447,6,No,No,A,High,No,No,31-01-2017
0,643,0,1,1,49.73768444,8,No,No,A,Low,No,No,31-08-2017
1,615,2,2,0,66.57353712,4,No,No,M,Low,No,Yes,31-12-2016
1,623,2,1,1,50.37526424,5,No,No,M,Low,No,Yes,30-06-2017
1,610,2,3,1,56.62698591,5,Yes,No,M,High,No,Yes,31-12-2016
0,NA,1,2,0,26.53062317,5,No,No,P,NO,No,No,30-06-2017
1,625,0,2,0,58.43600159,6,No,No,M,NO,No,No,31-05-2017
0,722,1,3,1,41.78927574,6,No,No,A,NO,Yes,Yes,30-04-2017
0,NA,0,1,0,37.29191216,4,No,No,M,NO,No,Yes,31-03-2017
0,591,2,2,1,67.53741768,5,Yes,Yes,P,High,No,Yes,30-04-2017
1,632,2,3,2,61.01867426,5,Yes,No,A,High,No,Yes,28-02-2017
0,597,0,1,0,43.55964408,3,No,No,M,NO,No,No,30-04-2017
1,574,0,3,1,69.7104983,6,No,No,A,High,No,Yes,31-08-2017
1,580,1,2,0,59.98986483,3,No,No,M,NO,No,No,30-09-2017
0,584,0,2,1,49.33818628,6,Yes,Yes,A,NO,No,No,31-03-2017
0,540,1,0,0,42.59988016,6,Yes,Yes,A,High,No,Yes,31-07-2017
0,NA,0,1,0,42.06865244,5,No,No,M,NO,Yes,Yes,28-02-2017
0,660,1,2,1,38.02457038,6,No,No,A,NO,No,Yes,31-01-2017
0,678,2,2,1,32.32643757,6,No,No,M,NO,No,Yes,30-09-2017
0,NA,1,1,1,46.21186276,3,No,No,A,Low,Yes,Yes,31-03-2017
0,623,2,3,1,48.4921223,5,Yes,No,A,High,Yes,Yes,28-02-2017
0,654,1,2,1,43.56410385,6,No,No,P,NO,No,Yes,28-02-2017
0,666,0,0,0,44.32017976,6,No,No,A,NO,Yes,Yes,31-07-2017
0,674,1,1,0,57.07184463,6,No,No,P,NO,Yes,Yes,31-01-2017
0,601,0,0,1,38.71747598,5,No,No,A,Low,No,No,31-07-2017
0,NA,1,0,0,40.96187474,7,No,No,A,NO,No,Yes,31-07-2017
0,633,1,2,1,37.00054423,6,No,No,A,NO,No,Yes,31-05-2017
0,635,1,1,0,52.71322372,4,No,No,M,NO,No,Yes,31-07-2017
0,686,0,2,1,67.81710738,5,No,No,M,NO,No,Yes,30-04-2017
0,760,2,2,1,48.84858301,7,No,No,A,NO,No,No,31-08-2017
0,653,0,1,1,38.62693231,7,No,No,M,NO,Yes,No,31-12-2016
0,621,1,1,1,28.39988053,7,No,No,A,NO,No,No,31-03-2017
0,626,1,0,0,48.01188673,5,Yes,Yes,M,High,No,No,28-02-2017
0,642,1,0,1,30.16471819,4,No,No,A,NO,Yes,No,30-04-2017
0,604,1,1,0,53.01066663,6,No,No,P,NO,No,No,31-08-2017
0,667,1,2,1,34.61593032,7,No,No,P,NO,Yes,No,31-12-2016
0,585,0,1,0,44.31997824,5,Yes,Yes,M,High,No,Yes,31-05-2017
0,609,0,3,1,47.85180206,6,Yes,Yes,A,High,Yes,No,31-05-2017
0,616,0,2,2,51.06969922,4,Yes,No,A,Low,Yes,Yes,31-03-2017
0,589,1,2,0,53.29300871,5,No,No,M,High,No,Yes,31-08-2017
0,621,0,0,0,24.73486215,5,No,Yes,M,NO,Yes,Yes,31-08-2017
0,670,0,1,0,39.38998615,5,No,No,A,NO,No,Yes,31-12-2016
0,631,0,1,0,38.40921728,5,No,No,A,NO,No,Yes,31-01-2017
0,626,1,1,0,53.47713307,3,No,No,M,NO,No,Yes,30-09-2017
0,742,1,1,0,47.80528042,7,No,No,M,NO,No,Yes,31-03-2017
0,678,0,1,1,49.56006436,7,No,No,A,NO,No,No,30-06-2017
0,664,0,0,0,40.25951487,6,No,No,A,NO,Yes,Yes,31-05-2017
0,671,1,2,0,59.97306561,5,No,No,M,Low,No,No,31-05-2017
0,694,0,0,1,34.62214011,6,No,No,M,NO,No,Yes,31-01-2017
1,674,2,3,1,56.5179051,4,No,No,A,Low,Yes,No,30-04-2017
0,647,0,3,2,48.95989574,5,Yes,No,A,NO,Yes,Yes,31-03-2017
0,638,1,1,0,49.79284061,4,No,No,A,NO,No,Yes,31-08-2017
0,603,1,2,2,59.76054963,5,Yes,No,M,Low,No,Yes,31-05-2017
0,625,1,2,1,50.78229846,4,No,No,P,NO,Yes,Yes,30-04-2017
0,625,0,1,1,11.66987743,6,No,Yes,M,NO,Yes,Yes,30-04-2017
1,545,1,3,1,60.66019333,4,Yes,No,M,High,No,Yes,31-01-2017
0,707,0,1,0,51.54141345,8,No,No,A,NO,Yes,Yes,31-01-2017
1,677,1,2,1,47.52484393,5,No,No,M,Low,No,No,31-08-2017
1,484,1,3,2,45.58361491,6,Yes,No,M,High,No,Yes,30-04-2017
0,607,1,3,1,27.08686031,6,No,No,M,NO,Yes,No,31-03-2017
0,NA,1,3,1,65.33026912,5,No,No,M,NO,No,Yes,31-05-2017
0,633,1,2,0,49.60077771,6,No,No,A,NO,Yes,Yes,30-04-2017
0,573,1,2,0,61.05028362,5,No,No,P,NO,Yes,No,30-09-2017
0,751,1,1,0,57.15879944,6,No,No,M,NO,No,No,31-12-2016
0,609,0,2,0,35.05182153,6,No,Yes,A,Low,No,Yes,30-09-2017
0,651,1,0,1,39.11592952,7,No,Yes,A,NO,No,Yes,31-03-2017
0,591,0,1,1,64.33643166,5,No,No,M,Low,No,Yes,30-09-2017
0,725,2,3,1,50.70560788,5,No,No,A,NO,No,Yes,30-06-2017
0,634,0,0,1,47.87459164,4,No,No,M,NO,No,Yes,28-02-2017
0,624,1,2,1,60.71113995,5,No,No,A,NO,No,Yes,31-12-2016
0,590,2,2,2,50.91793266,5,Yes,Yes,M,High,No,Yes,31-01-2017
1,641,2,2,1,66.78434514,4,No,No,M,High,No,Yes,30-09-2017
0,659,0,1,2,61.60849482,5,No,Yes,M,NO,No,No,31-12-2016
0,613,1,1,0,41.59432603,5,No,No,M,NO,No,Yes,30-09-2017
0,662,1,2,0,49.06402187,5,No,No,A,NO,No,No,31-08-2017
0,654,1,3,1,63.70607958,6,No,No,A,High,No,Yes,28-02-2017
0,619,0,1,1,55.8262073,8,Yes,No,M,High,No,Yes,31-08-2017
0,658,0,0,0,35.44796828,7,No,No,M,NO,No,Yes,31-07-2017
1,706,1,1,0,61.50045108,7,No,No,A,Low,No,No,30-06-2017
0,668,0,0,0,40.55255658,8,No,No,P,NO,Yes,No,30-09-2017
1,668,2,2,1,48.94980549,5,Yes,Yes,A,Low,No,Yes,31-01-2017
0,787,0,2,0,35.65375558,7,No,No,M,NO,Yes,Yes,31-05-2017
1,663,2,2,2,45.75650981,5,No,No,M,Low,No,No,31-03-2017
0,666,1,2,1,55.20240961,7,Yes,No,A,High,No,Yes,31-01-2017
0,601,1,3,1,46.83479716,6,Yes,No,A,High,No,Yes,31-07-2017
0,604,0,0,1,42.83697054,3,No,Yes,A,NO,Yes,Yes,31-07-2017
0,651,1,0,1,34.16424093,5,No,Yes,M,NO,No,Yes,30-06-2017
0,685,1,1,0,66.45769626,5,Yes,No,M,Low,Yes,No,31-12-2016
0,605,0,0,0,38.50191604,5,No,No,M,NO,No,Yes,28-02-2017
0,628,1,2,0,38.60781182,7,No,No,M,Low,No,Yes,31-08-2017
0,653,1,2,0,30.82290111,5,No,No,A,NO,Yes,Yes,31-12-2016
0,592,1,3,1,53.12514185,4,No,No,A,Low,No,Yes,28-02-2017
0,570,0,2,0,36.07104268,5,No,No,A,High,No,Yes,28-02-2017
0,671,1,2,0,29.88920279,6,No,No,M,NO,Yes,Yes,31-08-2017
1,565,1,3,0,40.96151174,5,No,No,M,High,No,Yes,30-04-2017
0,699,1,2,1,55.04334784,5,No,No,A,NO,No,Yes,30-09-2017
0,672,1,2,0,61.51676973,3,No,No,A,NO,Yes,Yes,30-04-2017
0,728,2,1,1,45.0398721,6,No,Yes,M,NO,No,Yes,30-04-2017
1,684,0,1,1,47.17467053,6,No,No,A,Low,No,No,31-03-2017
0,639,0,0,0,35.20126929,6,No,No,A,NO,Yes,Yes,31-05-2017
0,NA,1,1,1,38.72386871,7,No,No,P,NO,Yes,Yes,31-12-2016
0,664,2,1,0,41.18890989,5,No,No,A,NO,No,Yes,31-12-2016
1,NA,2,2,1,62.64080385,6,Yes,Yes,M,High,No,No,31-12-2016
1,664,2,2,2,53.54827593,6,No,No,M,NO,No,Yes,31-01-2017
0,NA,0,0,1,33.8460048,6,No,No,M,NO,Yes,Yes,30-04-2017
0,652,1,1,2,37.17749659,6,No,No,P,NO,No,No,31-12-2016
0,696,0,2,1,46.23399793,6,No,Yes,A,NO,No,Yes,30-04-2017
0,702,0,0,0,39.21310863,6,No,No,A,NO,Yes,No,28-02-2017
1,612,0,3,1,62.41354184,4,No,No,A,Low,No,No,28-02-2017
0,576,1,2,2,57.5512727,6,No,No,M,High,No,Yes,30-09-2017
0,626,1,2,1,57.86906522,6,No,No,P,NO,No,Yes,31-07-2017
0,654,1,2,1,56.49099783,6,No,No,P,NO,Yes,No,31-07-2017
1,632,1,3,1,53.93474845,4,No,No,M,High,No,Yes,28-02-2017
0,636,0,2,1,43.65960335,5,No,No,M,Low,No,Yes,31-01-2017
0,625,1,1,1,45.08417431,5,No,No,P,Low,Yes,Yes,28-02-2017
0,579,1,1,0,22.89536625,5,No,No,A,NO,Yes,No,30-04-2017
0,NA,2,2,1,29.87285191,6,No,No,M,NO,No,No,31-12-2016
0,687,0,0,1,31.2039332,8,No,No,M,NO,No,Yes,28-02-2017
0,764,2,3,1,44.9752708,3,No,No,A,NO,No,No,28-02-2017
0,702,0,0,0,41.07211913,8,No,No,M,NO,Yes,Yes,31-12-2016
0,587,0,2,0,37.74022706,6,No,No,A,NO,No,No,31-03-2017
0,665,1,0,1,64.75031242,5,No,No,M,NO,Yes,Yes,31-12-2016
0,695,1,0,0,57.20076421,7,No,No,M,NO,No,Yes,31-08-2017
0,616,0,1,1,43.74998533,4,No,No,M,NO,Yes,Yes,28-02-2017
0,658,1,1,0,41.99256615,8,Yes,No,P,High,No,Yes,31-05-2017
0,704,1,0,1,41.52005286,6,No,No,M,NO,No,Yes,31-08-2017
0,657,1,3,0,55.59972718,5,No,No,M,Low,No,Yes,30-09-2017
0,759,1,1,1,47.87719769,5,No,No,P,NO,Yes,No,31-08-2017
1,584,0,1,0,48.45845678,4,Yes,No,M,Low,No,Yes,31-07-2017
1,537,2,2,0,42.04500488,6,Yes,No,M,High,No,Yes,31-12-2016
0,614,0,0,0,34.47971755,5,No,No,M,NO,Yes,Yes,31-07-2017
0,668,1,1,0,44.2254192,6,No,No,A,NO,No,Yes,31-01-2017
0,586,1,3,1,44.43589524,4,No,No,A,Low,No,Yes,30-06-2017
0,602,0,2,1,50.29063962,6,No,No,A,High,No,Yes,31-12-2016
0,670,0,0,0,54.34802509,5,No,No,M,NO,No,Yes,31-12-2016
0,628,1,1,1,39.96363199,6,No,No,M,NO,Yes,No,31-07-2017
0,647,1,1,0,38.82612381,6,No,No,P,Low,No,Yes,30-04-2017
1,NA,1,2,1,48.95112396,4,No,No,A,Low,No,Yes,30-04-2017
0,697,0,2,1,38.39084472,7,No,No,P,NO,No,No,31-05-2017
1,508,1,2,1,42.77243109,4,Yes,No,A,High,No,No,31-07-2017
1,581,0,0,0,71.65590494,4,No,No,M,NO,No,Yes,31-03-2017
1,605,1,2,1,45.73242641,4,No,No,M,High,Yes,Yes,30-04-2017
1,603,0,3,1,56.60224618,5,Yes,Yes,A,High,Yes,Yes,31-07-2017
0,690,0,0,0,33.79440506,5,No,No,M,NO,Yes,Yes,31-07-2017
0,689,0,2,0,32.15846536,6,No,No,A,NO,No,Yes,31-05-2017
0,572,1,3,2,38.01819764,5,No,No,A,High,No,Yes,31-07-2017
0,602,0,1,0,31.18125246,6,No,Yes,M,NO,No,Yes,30-09-2017
1,639,1,3,1,51.57417291,4,No,No,M,NO,No,Yes,28-02-2017
0,633,0,0,0,49.87543204,6,No,No,A,NO,No,Yes,31-03-2017
1,591,1,3,0,44.734319,6,No,No,M,High,No,Yes,31-12-2016
0,541,0,2,1,47.7258347,4,No,No,A,Low,No,Yes,31-07-2017
0,709,1,2,0,61.64085818,7,Yes,No,P,NO,Yes,Yes,31-07-2017
0,653,1,2,0,38.77777523,6,Yes,No,M,High,Yes,Yes,31-03-2017
1,589,1,2,0,57.45146178,5,No,No,A,NO,No,Yes,31-03-2017
0,609,1,3,2,44.80234995,6,Yes,No,P,High,No,No,30-09-2017
0,681,2,0,2,47.67980562,6,No,No,A,NO,No,Yes,31-07-2017
0,681,1,1,1,51.10088364,7,No,No,M,NO,No,Yes,31-08-2017
0,655,0,1,0,53.00335233,4,No,No,M,NO,Yes,Yes,30-09-2017
0,615,1,2,1,58.10639337,5,No,No,M,NO,No,Yes,30-04-2017
0,713,1,0,0,45.45968756,7,No,No,M,NO,No,No,30-04-2017
0,677,1,2,1,46.50593481,7,No,No,P,High,No,Yes,28-02-2017
0,616,0,1,0,41.21027428,5,No,No,P,NO,Yes,Yes,31-01-2017
0,650,1,1,0,45.83154786,5,No,No,A,NO,No,No,28-02-2017
0,694,1,2,1,50.57693834,6,No,No,M,NO,No,Yes,30-09-2017
0,NA,0,1,0,51.9244153,6,No,No,M,NO,Yes,Yes,30-09-2017
0,NA,1,2,0,43.78892451,7,No,No,P,NO,Yes,No,31-07-2017
0,649,1,3,0,46.40360544,5,No,No,P,NO,Yes,No,31-12-2016
0,592,1,3,0,52.32933727,6,No,No,A,NO,No,Yes,31-07-2017
0,576,0,1,0,38.84957443,6,No,Yes,M,NO,No,Yes,30-04-2017
0,668,0,1,0,30.80702879,6,No,No,A,NO,Yes,Yes,30-04-2017
0,633,0,1,0,40.73861911,5,No,No,P,NO,Yes,No,30-06-2017
0,687,0,0,0,55.22833871,5,No,No,M,NO,No,No,30-06-2017
0,670,0,0,0,51.77935846,8,No,No,A,Low,Yes,Yes,31-01-2017
0,737,1,3,0,44.95751302,7,No,No,A,NO,No,No,31-07-2017
1,692,0,1,0,53.50369389,6,No,No,M,Low,No,Yes,30-06-2017
1,604,2,2,1,47.97891111,5,No,No,M,High,No,No,31-12-2016
0,559,0,3,1,58.69328145,3,No,No,M,NO,No,Yes,30-04-2017
0,660,1,2,1,32.44784924,6,No,No,A,NO,Yes,Yes,31-01-2017
0,622,1,2,1,34.16854813,5,No,No,A,NO,No,Yes,30-04-2017
0,585,1,3,1,60.97009188,3,No,No,A,High,Yes,Yes,30-04-2017
1,NA,2,3,2,53.28502285,5,Yes,Yes,M,High,Yes,Yes,31-05-2017
0,682,2,2,0,38.86468198,6,No,No,M,NO,Yes,Yes,30-09-2017
0,604,1,2,0,6.549864016,5,No,No,M,NO,Yes,No,31-07-2017
0,616,0,2,1,23.97761246,5,No,Yes,A,NO,No,Yes,31-12-2016
0,637,0,2,0,43.31695766,7,No,No,A,NO,Yes,No,31-03-2017
1,NA,2,2,2,47.08641593,8,Yes,No,A,High,No,Yes,31-03-2017
0,607,1,2,0,33.41084991,5,No,No,M,NO,No,Yes,31-08-2017
0,NA,0,0,0,47.22583792,8,No,No,A,NO,No,No,31-03-2017
0,703,0,2,0,21.26079591,4,No,No,M,NO,No,Yes,31-01-2017
0,717,1,1,1,54.59815038,5,No,No,M,NO,No,Yes,31-05-2017
0,590,1,0,1,37.67861592,5,No,No,A,NO,Yes,No,31-03-2017
1,572,0,2,0,37.71551558,7,Yes,Yes,M,High,No,Yes,31-01-2017
0,674,1,2,2,41.87089806,7,No,No,A,Low,No,Yes,30-09-2017
0,587,2,2,1,50.45338951,5,Yes,Yes,A,High,No,Yes,31-05-2017
0,NA,0,0,0,41.78537339,8,No,No,M,NO,Yes,No,30-06-2017
0,553,2,0,0,47.50554239,4,No,No,M,Low,No,Yes,31-12-2016
0,531,0,2,2,60.04993556,6,Yes,Yes,A,High,Yes,No,31-07-2017
0,678,1,2,2,34.86382142,5,No,No,A,NO,Yes,No,31-03-2017
0,691,1,3,1,51.03911747,5,Yes,Yes,A,NO,No,Yes,31-03-2017
0,765,2,1,1,47.34743088,7,No,No,M,NO,Yes,Yes,31-08-2017
1,564,2,3,2,59.4410089,3,No,No,A,High,No,Yes,31-01-2017
0,709,1,2,1,69.73513002,7,Yes,No,M,Low,Yes,Yes,31-01-2017
1,637,0,1,0,32.08406429,5,No,Yes,M,NO,No,Yes,30-09-2017
0,663,1,2,0,45.59878946,5,No,No,A,NO,Yes,Yes,31-03-2017
1,568,1,2,0,35.73665096,6,No,No,M,Low,No,Yes,31-03-2017
0,655,2,1,0,39.80631793,8,No,No,P,NO,Yes,Yes,30-09-2017
0,696,0,0,0,17.28781376,7,No,No,M,NO,No,No,30-09-2017
1,557,1,3,2,66.48749833,5,Yes,Yes,M,High,No,Yes,31-12-2016
0,703,1,1,1,35.46011624,6,No,No,A,NO,No,No,31-03-2017
0,608,0,1,1,36.78966135,7,No,No,M,Low,No,No,31-07-2017
1,636,1,3,1,55.15548462,7,No,No,A,Low,No,Yes,31-08-2017
0,617,0,1,0,47.17773843,4,No,No,M,NO,No,No,31-12-2016
1,528,2,2,2,59.84765544,3,Yes,Yes,M,High,No,Yes,31-07-2017
0,612,2,2,0,64.79451263,5,No,No,A,NO,No,No,30-09-2017
0,570,1,3,0,35.16672688,5,No,Yes,P,NO,No,Yes,31-12-2016
0,752,0,0,0,42.9225695,8,No,No,M,NO,Yes,Yes,31-01-2017
0,596,1,1,0,35.84907605,6,No,No,A,High,Yes,No,31-05-2017
0,627,0,0,0,32.46674545,4,No,No,M,NO,Yes,No,31-03-2017
1,695,1,3,1,59.60096536,5,Yes,Yes,M,Low,No,Yes,31-03-2017
0,694,0,2,1,44.84512876,7,No,No,P,NO,Yes,No,31-07-2017
1,622,1,0,1,36.51018201,7,No,No,M,Low,No,Yes,30-09-2017
0,580,1,0,1,37.20245876,5,No,No,P,NO,Yes,Yes,31-01-2017
0,692,1,1,1,28.92234165,7,No,No,M,NO,No,Yes,31-07-2017
1,725,2,2,1,68.67062143,6,No,No,M,NO,No,Yes,31-05-2017
0,588,1,2,1,54.084615,5,No,No,P,NO,No,No,31-12-2016
1,538,0,2,2,63.62353457,3,Yes,No,M,High,No,Yes,31-07-2017
1,546,1,3,0,37.22560635,5,Yes,Yes,M,High,No,Yes,31-05-2017
0,NA,0,1,1,33.45620928,4,No,No,A,NO,No,Yes,30-04-2017
0,597,1,1,1,34.6169577,5,No,No,A,High,No,Yes,28-02-2017
0,604,0,0,1,49.03348751,5,No,No,M,NO,No,Yes,31-07-2017
0,689,2,1,1,32.92523048,6,No,Yes,M,NO,No,Yes,30-09-2017
0,699,0,1,1,44.04976517,7,No,No,M,NO,No,Yes,31-03-2017
0,675,1,1,0,37.78162634,5,No,No,A,NO,No,No,31-07-2017
0,590,0,1,0,49.22572529,5,No,No,M,NO,No,Yes,31-03-2017
0,764,0,1,1,56.26007441,7,No,No,M,NO,No,Yes,31-01-2017
0,644,1,1,0,53.55124326,6,No,No,A,Low,No,Yes,31-01-2017
