Gender,balance,income,DPD
F,813.9945655,20391.52895,51
M,499.4578151,38899.16046,40
M,853.1613317,36272.45178,51
M,474.7273191,32064.33511,30
M,1235.876113,35838.77702,46
M,620.6751526,44213.7701,20
M,220.0285698,37880.02965,50
F,1304.914299,18074.07542,46
F,1608.15256,22358.0467,59
M,256.4712276,37657.05592,42
F,1153.604998,19224.97523,25
M,771.8958745,31170.08528,30
F,1099.630422,17064.04283,14
M,782.8830297,40357.13343,57
M,444.2649062,35924.33879,15
M,504.0283787,24780.96124,11
M,1762.503402,42124.66007,6
F,850.0961166,18618.98791,55
M,1412.238721,40785.05977,31
M,715.4968296,47482.56538,43
M,1363.528599,55713.04161,7
M,493.2418898,42495.20308,15
M,1354.752537,33375.13169,6
F,571.293911,15416.26935,10
M,956.1513522,44086.70773,25
M,964.820253,34390.74604,20
M,552.634366,50513.16424,7
M,338.2662016,37767.23986,33
M,709.1233514,44041.63009,57
M,978.9782004,57839.05373,19
M,371.0101278,15702.70708,32
F,1572.856481,14930.17833,92
M,0,40150.21798,11
M,1964.476872,39054.58914,119
M,548.0377834,33605.64947,27
M,1257.055222,34045.00882,42
M,1189.918057,38016.8939,3
M,687.683759,39373.57975,30
M,845.6989658,39899.51268,42
F,957.6848338,19676.34565,1
M,233.5168463,43326.10538,39
F,1126.948744,14298.26457,43
F,488.8551765,15159.49485,26
M,767.9035598,44323.57966,54
M,561.9257991,31388.50565,26
F,1092.270013,17454.60184,53
M,71.788683,31965.74471,30
F,1839.143682,13625.39793,8
F,876.0007779,22474.57409,1
M,554.1078115,30357.02598,58
M,891.3178981,43945.04165,30
M,464.8363331,27324.89969,33
F,563.5426611,24082.03934,10
M,1530.353157,30003.81715,84
M,990.5670262,41690.25262,43
M,590.3997865,42769.20388,20
F,715.1641096,21153.51101,36
M,1540.377727,41852.07844,14
M,1243.326518,41639.68038,24
F,235.3284999,20909.70475,6
M,528.2543232,49394.34077,51
M,592.2538956,30731.2016,0
M,705.204972,42683.18724,53
M,456.515644,48195.77584,59
F,470.7175747,18052.105,7
F,1503.07513,10600.41354,54
M,1362.965595,44217.91604,24
M,908.7715737,45032.84599,45
F,1096.820272,16148.06001,57
M,369.2219425,47835.09105,0
M,673.399899,50256.29021,37
M,1038.500008,51173.14138,42
M,0,28762.92378,45
M,527.1940866,32431.11826,29
M,817.4693368,32974.42735,24
F,1549.042755,19702.29321,33
F,566.7137894,11853.95317,55
M,1496.056465,24935.91874,51
M,862.6566564,42844.834,35
M,1259.149418,31263.64108,11
M,1025.038833,43510.04964,46
F,703.2777871,14793.74268,25
F,1082.391497,15175.36121,25
M,910.4490235,44054.91642,12
F,996.5438622,16995.6604,20
M,353.778226,58514.31808,55
F,782.7108275,13300.29747,4
M,1716.595418,51056.86829,12
F,502.8986384,15153.96576,39
M,1033.468469,59203.96766,15
M,0,34925.36541,35
F,1087.083499,19263.76958,49
M,1047.244249,43899.75925,55
M,1056.927353,38367.86795,22
F,979.2244246,26010.8878,45
F,847.8187063,15978.63363,11
M,781.7712848,50958.79051,19
F,402.4888868,15904.05592,8
M,204.7401817,17534.29054,20
F,2022.674643,18336.74317,33
M,748.9370638,44186.61776,27
M,838.2756878,35917.49061,54
M,386.0160493,44694.03096,4
M,812.3992965,49623.10098,33
F,1809.926564,6985.135945,31
M,0,30360.54894,21
F,1328.183804,24688.47372,17
F,1464.936049,26716.68637,47
M,1200.565138,39718.69266,12
M,989.68642,27856.57706,23
M,870.7345799,35539.27022,3
F,1200.84739,19849.83141,24
F,1428.832047,23204.68146,53
M,0,33951.28873,51
F,359.4588665,21783.26949,39
M,265.6839498,40862.75401,14
M,1027.770532,44406.83691,23
M,729.0474335,35042.133,3
M,1042.80492,25867.14772,13
M,230.2305879,37875.61482,39
M,367.4660122,30611.27227,5
F,737.7053539,20863.79967,39
M,18.26128536,30349.46042,31
M,1257.760209,30834.77137,4
M,455.5215132,40907.39835,7
M,56.96756035,35458.48156,2
F,723.9319853,12213.03714,19
M,612.3831577,41379.76781,45
F,1220.177606,15308.12707,16
M,1222.347692,32363.37105,1
M,1165.491138,47684.21945,5
M,1642.819997,46856.94704,89
M,944.17356,56088.6838,32
M,749.6080039,41423.94117,41
M,370.3751868,31231.00784,8
M,1991.64912,42133.37318,115
M,773.9152266,44562.33812,4
F,817.2498113,20480.88706,42
M,1060.71622,50260.46437,52
M,1550.449264,56273.51361,86
F,454.4669622,15092.43931,51
F,1256.239325,17784.55894,13
M,1484.395393,36731.30869,9
F,1050.477328,12661.61163,11
M,986.4006189,45430.47221,45
M,717.341927,44266.37654,27
M,692.1432227,47038.09032,39
M,1328.892725,34710.06237,85
M,673.4681911,32930.06936,51
M,218.639297,48991.39538,55
M,1218.166966,43954.27749,58
F,13.51680255,19322.54503,28
F,531.4786999,21726.55897,33
M,165.5381517,33436.45574,28
F,1351.849722,25890.50399,5
M,107.282083,54143.96275,18
M,947.1935714,35604.11719,36
F,434.5602592,14812.64524,46
M,1020.06724,37458.87925,6
M,662.305318,31597.89762,46
F,754.4206129,20767.68302,40
M,289.4895757,44412.8951,40
M,198.0384092,36270.93812,17
F,516.0604917,16615.02196,49
M,697.563809,41755.39815,1
F,502.3247835,16947.42293,38
F,1459.687083,15575.41923,16
M,716.9987227,34418.26022,7
F,1037.972705,18324.03006,49
M,673.0161172,29735.9616,2
M,371.9217847,41099.77244,17
M,89.13495796,55604.60753,49
M,1273.280181,40895.28277,5
M,600.723303,18680.51677,58
M,905.0381646,40711.7989,20
M,1061.441562,54437.01032,59
M,1672.639248,46334.78776,28
F,883.7026456,19750.094,46
M,373.78033,53936.24178,30
M,1287.795187,52382.6647,42
M,1229.742571,48739.92739,41
F,510.613847,22457.05175,31
M,775.6301687,27205.85739,59
M,1152.982887,50206.57693,39
F,1303.66259,7986.000336,54
M,1675.278852,28244.50348,42
M,398.277733,30001.79506,58
F,739.9017594,25023.87386,22
M,226.4176965,32018.71363,2
M,1217.321712,25173.61961,37
M,639.8205582,29902.00199,35
F,883.1669769,12717.49223,8
M,2.287610953,38186.52427,47
M,419.6373477,55967.99317,57
F,1544.14025,11102.53474,26
M,1101.015018,32153.01359,55
M,1700.599913,30488.98341,103
M,311.8245869,48301.05966,0
M,442.8302223,55074.13083,14
M,728.8149601,17909.58107,29
M,278.8779025,37188.66837,1
M,758.7023275,36625.98955,54
M,620.3396794,22803.74103,17
F,1890.167411,18402.46488,16
M,0,28951.4519,20
F,1329.198842,23184.01555,37
M,1075.863772,44128.62826,22
M,618.5275092,54956.99054,18
M,1111.086576,27466.89368,59
M,864.0397435,45881.93021,21
M,895.2298096,48512.45564,21
F,954.0304337,21908.52716,25
M,947.6349327,46813.51631,47
M,267.3037277,23117.92867,1
F,1366.805783,23913.2088,38
M,624.7318835,38325.17376,25
M,13.67938267,25221.63767,7
M,785.8664857,44778.01578,29
F,1353.093846,18933.49619,17
M,480.3212639,25553.26285,37
M,0,29507.31325,52
F,1221.971243,17916.85609,41
F,1184.936523,25108.75671,11
F,478.5720556,27512.3449,29
M,221.6904619,34786.10135,9
M,578.3876217,41054.13866,28
F,1361.458432,19576.95713,16
F,977.8480956,19731.96099,20
M,1184.425245,36887.43997,4
F,1118.701039,21848.4429,90
M,1119.097245,37224.56781,116
M,776.3499793,31329.48485,43
M,1322.297091,51792.40237,9
M,878.0264576,27438.58512,1
M,1268.379515,16921.18088,11
M,0,32611.37307,57
M,0,37262.57409,31
F,366.7869573,25833.0631,38
M,747.5610364,39898.76909,27
M,1787.285144,37499.09355,59
F,1929.44698,14995.49217,29
M,987.142891,27961.31961,25
F,856.3573684,20758.21469,12
M,1101.149707,18153.84432,19
M,704.18452,31515.98168,12
M,555.6234367,40837.73164,41
M,1073.498261,44764.11055,22
M,1126.223023,32842.65237,3
F,649.7733186,15708.29638,30
M,977.657621,43743.49673,10
M,1049.889964,42637.51106,22
F,1383.566333,15764.34588,21
F,1095.46574,14065.16757,15
M,1089.371791,30224.59613,52
M,605.2209683,21792.32152,51
M,1033.885399,49262.04533,50
M,1604.720554,38186.98507,44
M,826.3270259,24679.71504,50
F,1176.146823,16670.68079,38
F,1275.023199,19937.09803,38
F,1290.28314,23538.94414,1
M,1133.474199,51414.49596,30
M,837.4125669,37400.49288,27
F,379.0821667,18280.36703,26
F,1134.166278,12453.36359,59
M,0,39120.08479,17
M,1491.174803,59394.38308,17
F,1695.359586,9582.941897,30
M,705.5733276,54589.23987,4
M,239.1933663,33743.22655,34
F,1183.710641,12428.61451,43
M,898.7618389,38267.08158,26
F,1524.2904,11719.59348,18
M,777.0237374,35115.01855,42
M,1394.795819,26074.93436,21
F,0,20476.15572,2
M,62.57157516,47946.76709,57
M,1981.451815,28127.89547,88
M,514.0540348,50053.26193,17
M,722.788039,53714.18607,38
M,152.8663042,33716.86406,43
M,293.1847729,35390.2876,13
M,0,38613.6205,12
F,645.3668572,17878.36431,28
F,1515.152833,26046.77208,25
F,767.4395055,18846.48922,35
F,491.8797471,21715.2263,24
M,0,41389.43527,27
M,0,34589.48806,58
M,509.1551641,40132.65921,26
F,965.5873701,16440.0997,7
F,1868.540072,20489.59811,18
M,403.4972058,41803.77816,46
M,593.1436251,37670.93502,7
M,0,44547.86555,46
M,742.2900159,39367.19331,47
F,1110.100457,13013.61057,44
M,771.5512953,49440.40129,59
M,624.3388915,42492.75307,31
F,499.9572298,22884.95257,30
M,1088.63752,60650.03613,17
M,1556.491928,49669.66887,50
F,797.0843357,23558.68308,11
M,415.9925026,38215.67804,0
F,538.2326812,26833.03963,46
F,1181.934702,21086.08201,11
F,836.0206886,9271.789924,34
M,104.4432151,46928.00549,26
M,564.2094786,53196.62302,38
F,804.5394022,25091.46077,33
M,1028.95364,21218.30352,48
M,748.7465837,8983.856902,27
M,66.63208073,28735.97411,14
M,452.8022289,48034.23771,43
F,798.4605101,27724.06575,19
F,1941.902928,23467.12697,29
M,1446.101012,22996.4323,42
M,761.0640983,61580.03413,10
M,1350.172728,43147.45558,49
M,380.9502006,36943.36199,58
F,1602.849607,15906.4668,13
M,147.6101155,37588.56261,7
M,0,36283.08013,37
F,733.0725124,18818.16738,38
F,1082.747976,26096.33703,36
M,779.6573003,40804.4757,59
M,994.1587122,65254.0758,45
M,769.1813741,50070.78155,20
F,684.0985191,4985.169113,58
M,442.5633017,27898.46539,14
M,1717.071593,38408.89092,106
M,0,36302.52844,7
M,1092.345865,44717.01258,25
M,497.3349541,35146.79877,29
F,1149.680655,16907.70074,58
M,1465.210164,58699.9832,102
M,565.3176042,41789.611,16
F,922.1378905,12224.18517,15
F,175.5993806,11510.05787,33
M,1024.946819,49675.56042,17
M,596.8854323,54091.62476,0
M,750.4104842,53084.90748,49
F,790.8700274,14183.97003,30
M,112.3278725,42386.04856,15
F,738.3944873,16093.28455,48
M,1157.855561,54419.80857,25
M,1213.243149,45149.51632,19
M,1339.626204,41656.00289,22
M,588.3124302,56520.96251,9
M,721.8081325,56375.72199,37
M,680.820719,43843.47412,56
F,815.4065709,12071.7625,16
M,1042.507112,37170.10905,46
F,663.2498681,20454.61655,39
F,1478.618545,18026.4711,12
M,337.756754,33655.57243,12
F,1273.55072,23126.6362,9
M,114.1797259,49562.98927,59
M,0,52295.60093,47
F,1516.317689,26377.59349,58
F,898.1146731,24164.7511,23
M,790.5905821,48219.59447,38
M,0,29072.72149,3
M,1273.24483,49136.4742,30
M,1279.200448,36063.11411,38
F,732.7193809,14568.74741,2
M,1763.579088,46227.07454,98
F,1280.418448,16310.90553,15
M,1529.937995,36912.8973,42
F,345.4676365,18251.49456,53
M,197.9894038,33723.98576,51
F,1770.969441,15975.5372,112
F,639.3719435,17037.0548,53
M,238.8146439,23526.71091,36
M,390.5558431,45338.35721,9
F,830.1715111,19476.58758,9
F,1378.876076,21613.57847,38
M,242.4034493,37364.42309,41
M,1236.547494,36211.49036,36
M,1063.774937,34914.27525,48
M,126.923179,33819.14332,17
M,758.4655013,38018.14569,49
M,908.9314586,68758.8784,32
M,558.5183424,46297.42541,5
M,1819.242333,36969.55252,0
F,1110.681744,19327.57504,50
M,723.2433747,43459.01185,1
M,972.031864,18510.94603,16
M,696.0144306,40741.42024,12
F,1178.248909,29362.60461,56
F,329.5585109,19371.81209,47
F,792.5292385,14546.30177,20
M,1246.037758,33691.72131,31
M,591.7607765,41670.25738,26
M,244.0811388,24854.24982,0
M,1038.54836,49944.86515,36
M,679.0745868,49488.56398,53
M,1061.415836,40585.22164,3
F,1268.240691,11914.57827,35
F,955.5336858,14736.72088,15
M,1115.82063,27882.80926,42
F,601.1632606,22029.19352,35
M,1097.600039,52286.43182,38
M,1042.783073,45982.96632,34
F,1321.443053,8624.110689,7
M,1052.39326,37637.65931,18
M,687.9517011,27604.07927,51
F,566.4605126,24828.26598,10
M,769.414224,35071.16654,8
M,955.1353421,26372.98582,10
M,643.4095265,28660.14017,40
M,0,42745.30201,23
M,437.6360626,45384.04745,0
M,1278.865642,34673.17099,15
M,1639.390572,30624.77593,13
M,891.6437373,36470.82834,16
F,316.4590483,18813.94021,6
M,622.9295074,48874.55577,33
M,107.2775268,42287.30286,49
F,990.5432158,12398.4906,30
M,0,45659.9957,47
M,0,33119.95533,28
M,591.2184873,35287.82458,9
F,928.0600783,21121.84483,34
M,304.5992239,40785.98918,59
M,235.9394977,31336.51012,13
F,1108.053518,10853.23094,14
M,687.306397,24563.75768,16
M,60.18603613,39864.86355,4
M,0,34648.9726,47
M,272.8932571,58730.57286,1
M,1531.716459,43930.4001,99
M,949.6086485,47702.57375,47
M,561.9161785,35080.57924,16
M,468.1325222,25231.34623,29
F,993.10817,12215.94682,48
M,0,31314.69509,26
F,759.4783692,12710.72092,18
M,1340.787209,36440.22832,40
F,1521.463396,15210.47407,35
M,133.7433443,30457.01637,0
M,780.1725692,51656.87406,104
M,839.9154583,22884.79302,37
M,913.5058729,36670.85422,17
M,924.8814415,35712.63791,26
M,1197.831505,54652.3093,22
M,49.2096659,30451.15286,43
M,970.7160966,48387.64862,5
M,783.0574005,54082.42408,22
F,465.0628886,20379.06209,16
M,0,39337.74998,46
F,732.2642676,21986.04545,7
M,576.0912613,37679.69859,29
F,588.9910563,16309.87545,22
M,863.1407178,43779.47785,48
M,857.575734,49675.37032,54
M,361.5017311,33674.89024,47
M,891.1554271,36023.08501,50
M,918.122206,44738.55603,23
M,1335.028018,21150.85594,37
M,421.4008434,39873.52174,58
F,743.6361445,18883.97151,41
M,773.7403725,41872.49476,8
M,731.3934722,45251.88192,14
M,964.1889227,36330.3946,58
F,350.0151843,17657.17266,4
M,1206.661362,37125.59135,33
M,1051.947573,52888.1851,19
M,454.7603707,45572.17248,26
M,932.6653075,42758.6007,10
M,535.7458465,36259.46376,48
M,241.8052522,41186.18281,25
M,1026.50671,42042.16794,35
F,187.6798856,18278.83397,56
M,197.5383215,58646.9278,33
M,585.7080883,43288.40038,48
F,1947.022401,12147.04641,6
M,829.5475975,39717.53761,37
M,196.9384595,35488.44888,31
M,591.863619,31438.77601,59
M,0,39742.10546,56
F,1008.291619,11939.29526,6
F,1052.227478,17410.75159,3
M,331.6805267,49756.17101,4
M,913.107204,29414.65218,2
F,561.3916122,21747.26318,10
M,246.955463,47692.89425,55
M,578.9786101,46304.71748,59
M,557.8087771,62352.84607,59
F,788.2517516,10418.18286,17
M,1060.807429,39174.05636,26
F,1247.907029,19816.72014,10
M,1184.360723,34259.9902,46
M,1024.578238,33071.54992,52
M,1080.291656,43367.89957,57
M,540.2790448,26267.15635,22
M,1448.835465,33835.73626,28
F,561.1940353,27421.11126,46
M,1191.480307,30040.57215,32
M,565.1389875,38202.58394,50
M,482.9821952,35845.19283,22
M,950.3500933,37486.24955,39
F,350.7029135,21235.36042,17
F,1551.023469,19027.50863,110
M,981.5962751,37747.91335,25
M,1442.129805,10921.61503,14
M,1060.33586,56607.25397,21
M,1154.890792,61794.34633,1
F,544.1397693,20056.82854,22
M,1137.175454,27588.93331,34
M,414.0840495,47811.41892,28
F,436.0083144,17504.44777,23
M,987.8147997,25809.98028,57
M,679.3918418,46603.54641,21
M,1377.772007,51633.32955,10
M,856.8119605,32437.13183,40
M,1036.676833,44923.80275,32
M,0,46826.80447,37
M,961.4720707,51936.75989,45
M,275.9880913,35622.82945,21
M,426.6935421,30769.34477,27
M,290.2519082,46214.15923,12
M,934.9697035,42325.74999,7
F,668.9911556,26342.04846,52
F,2004.727568,27136.53798,9
M,1312.86573,29938.25946,13
F,662.2735565,15092.05102,48
M,524.639806,36120.89226,42
F,1212.589568,21058.34866,35
M,961.3157694,30290.8065,18
F,1504.290178,13965.18604,70
F,613.656318,25040.48845,32
F,1233.343605,13402.07329,33
M,1221.385959,36961.31512,18
M,1217.056807,46256.78049,0
M,628.7576984,43205.1753,0
F,819.0973161,15957.94364,26
F,843.4934551,12710.02571,46
M,1173.559815,29141.36573,21
F,1195.590283,13329.5964,33
M,1202.883124,12288.12708,44
M,24.87182349,29316.97033,9
M,853.2414216,29484.05238,54
M,398.7757053,40223.90981,8
F,1521.172396,18149.88619,43
F,1160.221793,15941.05088,47
M,985.6140627,49948.46711,28
M,583.8207193,38215.96476,46
F,638.6919826,18148.30171,9
M,384.9977195,25380.70345,16
M,1050.764231,31558.89842,53
F,1871.938387,18077.48709,87
M,793.7617176,35157.73998,39
F,591.6606513,21790.50243,35
M,419.4764413,24001.5122,55
F,514.2838902,18185.4797,56
M,1027.895035,21551.61109,52
F,1029.681549,15977.32114,2
F,953.6263238,18363.0685,31
F,1463.337765,11579.15945,52
M,1172.459499,34690.13828,45
F,548.2728639,12048.82289,48
M,1752.883789,48250.10462,36
F,555.9206802,23909.70649,38
F,1560.931752,13621.56916,29
F,839.8835566,16883.33886,3
F,1112.817978,13634.90763,16
M,1309.253772,43278.05928,38
M,940.5908748,41560.47099,51
M,1019.248977,41195.37012,26
M,433.6690195,32904.69772,6
M,1015.115425,42050.46652,40
M,75.17766307,52765.97828,19
M,1050.316376,39585.62422,13
M,48.91185684,35155.17247,6
M,1721.64778,48236.12633,43
M,1607.35144,48700.84805,57
M,1180.447542,43914.41982,19
M,609.8771346,40875.94654,13
F,1054.200208,19440.97318,40
F,793.8204657,19074.03173,15
M,879.6756179,30021.38335,39
M,1237.647422,29151.23466,3
F,1412.764358,18234.45922,58
F,1174.716483,13025.76945,17
M,363.3448038,44325.78885,0
M,919.4857763,44928.18464,16
F,1195.05967,21648.65668,49
F,794.1377878,15721.79966,57
M,10.18881851,33776.82546,50
M,0,31083.22146,51
F,498.5059792,16967.61976,53
F,1227.161107,18459.41861,19
M,1902.612991,53394.07623,79
F,1059.204637,11742.37986,37
F,450.3053908,21177.61108,52
M,418.5398704,55002.73341,57
M,1070.480677,32939.36671,55
M,1306.770573,56640.63403,8
F,1315.337298,8431.175004,44
M,74.5334252,19146.24563,33
M,66.15233049,38927.12451,40
M,56.42071165,54217.33825,56
M,1056.596875,25123.85962,4
M,259.2375778,51355.37462,52
F,1143.692578,23500.90128,49
F,0,15682.0685,9
M,877.7939338,30239.72072,41
M,919.077555,45315.55745,32
M,94.93247587,27212.95124,20
M,333.3741889,29413.14899,0
M,197.9107165,30971.19725,36
M,624.910088,41047.55579,54
M,138.2522518,54406.50225,34
M,787.5517717,46185.552,27
M,1030.927564,36271.33456,32
M,1049.747643,30159.20989,26
M,0,35738.98757,49
F,1130.056787,18467.10219,21
M,795.5412235,51303.14014,52
F,1503.596238,18710.61448,7
M,436.1350124,46071.66052,58
M,800.7055933,36314.43633,56
F,1881.049952,16580.45056,117
F,1445.45803,18632.61606,49
M,1166.100236,23994.40391,11
M,163.7471037,38970.0289,12
M,0,46353.80212,33
M,1322.052937,47814.1742,23
M,1283.523253,61525.69618,42
M,1000.898434,43059.0486,9
M,249.860323,47602.1165,54
M,500.2221784,38991.01248,53
M,568.0944851,36374.43392,29
F,1047.085154,13714.27938,29
F,186.6683743,15976.63786,31
M,782.778332,39224.40927,10
M,388.5483505,18007.83296,44
F,842.5722263,17279.52182,13
M,556.1156313,44197.90846,52
M,1234.578618,48112.48054,20
M,412.8943419,42123.21721,6
M,683.3573938,29269.33352,25
M,872.2261716,48101.61169,48
M,415.7654285,24740.7536,16
F,1518.018809,16740.44308,37
M,254.3944552,44612.14757,47
M,1507.249195,24057.51794,38
M,900.5675031,40848.69179,52
M,595.1451336,46011.94663,50
F,163.9398231,21083.00451,48
M,389.6132519,43472.6743,52
F,1334.97118,14834.86429,28
F,1961.728657,17864.09925,9
M,1173.161493,36439.67873,46
M,1102.418242,23218.0838,17
M,1228.907919,46411.82006,34
M,1505.831475,29525.7494,114
F,1217.623913,21160.4293,31
F,843.159091,12042.89422,35
M,1004.532904,59403.93001,22
M,294.0629444,57500.11105,46
M,484.7234795,24569.56729,35
M,775.5561388,34586.25334,12
F,1339.312769,21031.85983,56
M,801.8550344,39156.62749,52
M,551.8871003,37573.14139,18
F,522.3811806,23440.06422,2
F,1237.454723,20660.46938,34
M,320.0059169,57563.48923,5
M,960.6700306,30093.72754,32
M,272.0195177,29773.60932,54
M,927.1659182,33781.81511,6
M,75.79525931,55189.68599,25
M,1285.851381,37635.95408,10
M,1471.775073,32478.04391,57
F,808.0147191,14485.46844,41
